religion,total,geo_code,geo_level,geo_version
Bon,72,38,district,2016
Buddism,90230,38,district,2016
Christianity,23489,38,district,2016
Hindu,344234,38,district,2016
Islam,3080,38,district,2016
Jainism,68,38,district,2016
Kirat,5806,38,district,2016
Prakriti,231,38,district,2016
Sikhism,75,38,district,2016
Others,818,38,district,2016
Bahai,1,25005,local,2016
Bon,0,25005,local,2016
Buddism,5179,25005,local,2016
Christianity,2576,25005,local,2016
Hindu,53596,25005,local,2016
Islam,431,25005,local,2016
Jainism,0,25005,local,2016
Kirat,680,25005,local,2016
Prakriti,34,25005,local,2016
Sikhism,0,25005,local,2016
Others,127,25005,local,2016
Bahai,0,25002,local,2016
Bon,0,25002,local,2016
Buddism,11186,25002,local,2016
Christianity,3834,25002,local,2016
Hindu,64745,25002,local,2016
Islam,307,25002,local,2016
Jainism,0,25002,local,2016
Kirat,217,25002,local,2016
Prakriti,32,25002,local,2016
Sikhism,0,25002,local,2016
Others,55,25002,local,2016
Bahai,0,25001,local,2016
Bon,0,25001,local,2016
Buddism,7740,25001,local,2016
Christianity,138,25001,local,2016
Hindu,5155,25001,local,2016
Islam,2,25001,local,2016
Jainism,0,25001,local,2016
Kirat,0,25001,local,2016
Prakriti,5,25001,local,2016
Sikhism,0,25001,local,2016
Others,9,25001,local,2016
Bahai,0,25003,local,2016
Bon,4,25003,local,2016
Buddism,6153,25003,local,2016
Christianity,178,25003,local,2016
Hindu,3359,25003,local,2016
Islam,0,25003,local,2016
Jainism,0,25003,local,2016
Kirat,0,25003,local,2016
Prakriti,3,25003,local,2016
Sikhism,0,25003,local,2016
Others,12,25003,local,2016
Bahai,0,25006,local,2016
Bon,0,25006,local,2016
Buddism,3787,25006,local,2016
Christianity,89,25006,local,2016
Hindu,5646,25006,local,2016
Islam,0,25006,local,2016
Jainism,0,25006,local,2016
Kirat,2,25006,local,2016
Prakriti,2,25006,local,2016
Sikhism,0,25006,local,2016
Others,0,25006,local,2016
Bahai,28,25004,local,2016
Bon,68,25004,local,2016
Buddism,56185,25004,local,2016
Christianity,16674,25004,local,2016
Hindu,211733,25004,local,2016
Islam,2340,25004,local,2016
Jainism,68,25004,local,2016
Kirat,4907,25004,local,2016
Prakriti,155,25004,local,2016
Sikhism,75,25004,local,2016
Others,615,25004,local,2016
Bahai,1,10,district,2016
Bon,1,10,district,2016
Buddism,27982,10,district,2016
Christianity,5988,10,district,2016
Hindu,267643,10,district,2016
Islam,1506,10,district,2016
Jainism,6,10,district,2016
Kirat,1167,10,district,2016
Prakriti,61,10,district,2016
Sikhism,5,10,district,2016
Others,291,10,district,2016
Bahai,1,26004,local,2016
Bon,0,26004,local,2016
Buddism,6357,26004,local,2016
Christianity,1837,26004,local,2016
Hindu,70106,26004,local,2016
Islam,219,26004,local,2016
Jainism,0,26004,local,2016
Kirat,272,26004,local,2016
Prakriti,12,26004,local,2016
Sikhism,0,26004,local,2016
Others,41,26004,local,2016
Bahai,0,26002,local,2016
Bon,0,26002,local,2016
Buddism,4947,26002,local,2016
Christianity,999,26002,local,2016
Hindu,51865,26002,local,2016
Islam,65,26002,local,2016
Jainism,6,26002,local,2016
Kirat,64,26002,local,2016
Prakriti,2,26002,local,2016
Sikhism,0,26002,local,2016
Others,58,26002,local,2016
Bahai,0,26003,local,2016
Bon,0,26003,local,2016
Buddism,8294,26003,local,2016
Christianity,1939,26003,local,2016
Hindu,72041,26003,local,2016
Islam,973,26003,local,2016
Jainism,0,26003,local,2016
Kirat,758,26003,local,2016
Prakriti,30,26003,local,2016
Sikhism,5,26003,local,2016
Others,102,26003,local,2016
Bahai,0,26001,local,2016
Bon,1,26001,local,2016
Buddism,8384,26001,local,2016
Christianity,1213,26001,local,2016
Hindu,73631,26001,local,2016
Islam,249,26001,local,2016
Jainism,0,26001,local,2016
Kirat,73,26001,local,2016
Prakriti,17,26001,local,2016
Sikhism,0,26001,local,2016
Others,90,26001,local,2016
Bahai,4,20,district,2016
Bon,4,20,district,2016
Buddism,41600,20,district,2016
Christianity,3041,20,district,2016
Hindu,126492,20,district,2016
Islam,46,20,district,2016
Jainism,4,20,district,2016
Kirat,35,20,district,2016
Prakriti,15058,20,district,2016
Sikhism,0,20,district,2016
Others,273,20,district,2016
Bahai,0,22003,local,2016
Bon,1,22003,local,2016
Buddism,7254,22003,local,2016
Christianity,167,22003,local,2016
Hindu,7905,22003,local,2016
Islam,0,22003,local,2016
Jainism,1,22003,local,2016
Kirat,6,22003,local,2016
Prakriti,3241,22003,local,2016
Sikhism,0,22003,local,2016
Others,17,22003,local,2016
Bahai,0,22008,local,2016
Bon,0,22008,local,2016
Buddism,6376,22008,local,2016
Christianity,375,22008,local,2016
Hindu,12924,22008,local,2016
Islam,1,22008,local,2016
Jainism,0,22008,local,2016
Kirat,2,22008,local,2016
Prakriti,7,22008,local,2016
Sikhism,0,22008,local,2016
Others,13,22008,local,2016
Bahai,1,22009,local,2016
Bon,0,22009,local,2016
Buddism,1042,22009,local,2016
Christianity,530,22009,local,2016
Hindu,17242,22009,local,2016
Islam,1,22009,local,2016
Jainism,0,22009,local,2016
Kirat,0,22009,local,2016
Prakriti,5,22009,local,2016
Sikhism,0,22009,local,2016
Others,28,22009,local,2016
Bahai,1,22002,local,2016
Bon,0,22002,local,2016
Buddism,5538,22002,local,2016
Christianity,351,22002,local,2016
Hindu,25464,22002,local,2016
Islam,32,22002,local,2016
Jainism,2,22002,local,2016
Kirat,13,22002,local,2016
Prakriti,1880,22002,local,2016
Sikhism,0,22002,local,2016
Others,43,22002,local,2016
Bahai,0,22004,local,2016
Bon,0,22004,local,2016
Buddism,6560,22004,local,2016
Christianity,206,22004,local,2016
Hindu,9822,22004,local,2016
Islam,1,22004,local,2016
Jainism,0,22004,local,2016
Kirat,3,22004,local,2016
Prakriti,500,22004,local,2016
Sikhism,0,22004,local,2016
Others,48,22004,local,2016
Bahai,1,22006,local,2016
Bon,0,22006,local,2016
Buddism,1039,22006,local,2016
Christianity,376,22006,local,2016
Hindu,16006,22006,local,2016
Islam,2,22006,local,2016
Jainism,0,22006,local,2016
Kirat,4,22006,local,2016
Prakriti,5502,22006,local,2016
Sikhism,0,22006,local,2016
Others,24,22006,local,2016
Bahai,0,22005,local,2016
Bon,1,22005,local,2016
Buddism,4600,22005,local,2016
Christianity,568,22005,local,2016
Hindu,7487,22005,local,2016
Islam,2,22005,local,2016
Jainism,0,22005,local,2016
Kirat,2,22005,local,2016
Prakriti,3173,22005,local,2016
Sikhism,0,22005,local,2016
Others,4,22005,local,2016
Bahai,1,22007,local,2016
Bon,1,22007,local,2016
Buddism,4785,22007,local,2016
Christianity,167,22007,local,2016
Hindu,14946,22007,local,2016
Islam,3,22007,local,2016
Jainism,1,22007,local,2016
Kirat,3,22007,local,2016
Prakriti,314,22007,local,2016
Sikhism,0,22007,local,2016
Others,66,22007,local,2016
Bahai,0,22001,local,2016
Bon,1,22001,local,2016
Buddism,4406,22001,local,2016
Christianity,301,22001,local,2016
Hindu,14696,22001,local,2016
Islam,4,22001,local,2016
Jainism,0,22001,local,2016
Kirat,2,22001,local,2016
Prakriti,436,22001,local,2016
Sikhism,0,22001,local,2016
Others,30,22001,local,2016
Bahai,8,41,district,2016
Bon,37,41,district,2016
Buddism,191603,41,district,2016
Christianity,20354,41,district,2016
Hindu,202912,41,district,2016
Islam,1787,41,district,2016
Jainism,3,41,district,2016
Kirat,198,41,district,2016
Prakriti,2767,41,district,2016
Sikhism,0,41,district,2016
Others,808,41,district,2016
Bahai,0,31010,local,2016
Bon,0,31010,local,2016
Buddism,17705,31010,local,2016
Christianity,1123,31010,local,2016
Hindu,23160,31010,local,2016
Islam,57,31010,local,2016
Jainism,0,31010,local,2016
Kirat,5,31010,local,2016
Prakriti,9,31010,local,2016
Sikhism,0,31010,local,2016
Others,63,31010,local,2016
Bahai,0,31006,local,2016
Bon,0,31006,local,2016
Buddism,16128,31006,local,2016
Christianity,1793,31006,local,2016
Hindu,5474,31006,local,2016
Islam,1,31006,local,2016
Jainism,0,31006,local,2016
Kirat,0,31006,local,2016
Prakriti,498,31006,local,2016
Sikhism,0,31006,local,2016
Others,28,31006,local,2016
Bahai,1,31003,local,2016
Bon,1,31003,local,2016
Buddism,12963,31003,local,2016
Christianity,853,31003,local,2016
Hindu,10961,31003,local,2016
Islam,20,31003,local,2016
Jainism,0,31003,local,2016
Kirat,4,31003,local,2016
Prakriti,51,31003,local,2016
Sikhism,0,31003,local,2016
Others,106,31003,local,2016
Bahai,2,31001,local,2016
Bon,0,31001,local,2016
Buddism,20271,31001,local,2016
Christianity,1101,31001,local,2016
Hindu,8498,31001,local,2016
Islam,9,31001,local,2016
Jainism,0,31001,local,2016
Kirat,4,31001,local,2016
Prakriti,647,31001,local,2016
Sikhism,0,31001,local,2016
Others,55,31001,local,2016
Bahai,0,31005,local,2016
Bon,0,31005,local,2016
Buddism,9115,31005,local,2016
Christianity,228,31005,local,2016
Hindu,4533,31005,local,2016
Islam,6,31005,local,2016
Jainism,0,31005,local,2016
Kirat,3,31005,local,2016
Prakriti,2,31005,local,2016
Sikhism,0,31005,local,2016
Others,4,31005,local,2016
Bahai,0,31002,local,2016
Bon,6,31002,local,2016
Buddism,28841,31002,local,2016
Christianity,474,31002,local,2016
Hindu,10172,31002,local,2016
Islam,8,31002,local,2016
Jainism,1,31002,local,2016
Kirat,1,31002,local,2016
Prakriti,9,31002,local,2016
Sikhism,0,31002,local,2016
Others,130,31002,local,2016
Bahai,0,31008,local,2016
Bon,0,31008,local,2016
Buddism,16752,31008,local,2016
Christianity,2655,31008,local,2016
Hindu,19068,31008,local,2016
Islam,116,31008,local,2016
Jainism,0,31008,local,2016
Kirat,42,31008,local,2016
Prakriti,431,31008,local,2016
Sikhism,0,31008,local,2016
Others,58,31008,local,2016
Bahai,0,31009,local,2016
Bon,0,31009,local,2016
Buddism,12426,31009,local,2016
Christianity,6264,31009,local,2016
Hindu,6541,31009,local,2016
Islam,0,31009,local,2016
Jainism,0,31009,local,2016
Kirat,4,31009,local,2016
Prakriti,939,31009,local,2016
Sikhism,0,31009,local,2016
Others,18,31009,local,2016
Bahai,0,31007,local,2016
Bon,1,31007,local,2016
Buddism,14324,31007,local,2016
Christianity,482,31007,local,2016
Hindu,10425,31007,local,2016
Islam,2,31007,local,2016
Jainism,0,31007,local,2016
Kirat,0,31007,local,2016
Prakriti,4,31007,local,2016
Sikhism,0,31007,local,2016
Others,141,31007,local,2016
Bahai,5,31004,local,2016
Bon,29,31004,local,2016
Buddism,43078,31004,local,2016
Christianity,5381,31004,local,2016
Hindu,104080,31004,local,2016
Islam,1568,31004,local,2016
Jainism,2,31004,local,2016
Kirat,135,31004,local,2016
Prakriti,177,31004,local,2016
Sikhism,0,31004,local,2016
Others,205,31004,local,2016
Bahai,7,36,district,2016
Bon,4,36,district,2016
Buddism,132245,36,district,2016
Christianity,6786,36,district,2016
Hindu,238994,36,district,2016
Islam,318,36,district,2016
Jainism,3,36,district,2016
Kirat,61,36,district,2016
Prakriti,2286,36,district,2016
Sikhism,3,36,district,2016
Others,1230,36,district,2016
Bahai,1,24001,local,2016
Bon,0,24001,local,2016
Buddism,7871,24001,local,2016
Christianity,1629,24001,local,2016
Hindu,47280,24001,local,2016
Islam,140,24001,local,2016
Jainism,1,24001,local,2016
Kirat,26,24001,local,2016
Prakriti,8,24001,local,2016
Sikhism,3,24001,local,2016
Others,117,24001,local,2016
Bahai,0,24011,local,2016
Bon,0,24011,local,2016
Buddism,8071,24011,local,2016
Christianity,1137,24011,local,2016
Hindu,29046,24011,local,2016
Islam,42,24011,local,2016
Jainism,0,24011,local,2016
Kirat,10,24011,local,2016
Prakriti,1370,24011,local,2016
Sikhism,0,24011,local,2016
Others,112,24011,local,2016
Bahai,0,24007,local,2016
Bon,0,24007,local,2016
Buddism,13448,24007,local,2016
Christianity,162,24007,local,2016
Hindu,4610,24007,local,2016
Islam,0,24007,local,2016
Jainism,0,24007,local,2016
Kirat,0,24007,local,2016
Prakriti,20,24007,local,2016
Sikhism,0,24007,local,2016
Others,43,24007,local,2016
Bahai,4,24010,local,2016
Bon,1,24010,local,2016
Buddism,7648,24010,local,2016
Christianity,814,24010,local,2016
Hindu,38854,24010,local,2016
Islam,58,24010,local,2016
Jainism,0,24010,local,2016
Kirat,6,24010,local,2016
Prakriti,5,24010,local,2016
Sikhism,0,24010,local,2016
Others,159,24010,local,2016
Bahai,1,24008,local,2016
Bon,1,24008,local,2016
Buddism,8722,24008,local,2016
Christianity,522,24008,local,2016
Hindu,22845,24008,local,2016
Islam,17,24008,local,2016
Jainism,0,24008,local,2016
Kirat,2,24008,local,2016
Prakriti,553,24008,local,2016
Sikhism,0,24008,local,2016
Others,105,24008,local,2016
Bahai,0,24002,local,2016
Bon,0,24002,local,2016
Buddism,8842,24002,local,2016
Christianity,135,24002,local,2016
Hindu,7747,24002,local,2016
Islam,0,24002,local,2016
Jainism,0,24002,local,2016
Kirat,0,24002,local,2016
Prakriti,1,24002,local,2016
Sikhism,0,24002,local,2016
Others,52,24002,local,2016
Bahai,0,24012,local,2016
Bon,2,24012,local,2016
Buddism,17636,24012,local,2016
Christianity,263,24012,local,2016
Hindu,10770,24012,local,2016
Islam,10,24012,local,2016
Jainism,0,24012,local,2016
Kirat,0,24012,local,2016
Prakriti,4,24012,local,2016
Sikhism,0,24012,local,2016
Others,75,24012,local,2016
Bahai,0,24005,local,2016
Bon,0,24005,local,2016
Buddism,7391,24005,local,2016
Christianity,1076,24005,local,2016
Hindu,25531,24005,local,2016
Islam,35,24005,local,2016
Jainism,1,24005,local,2016
Kirat,10,24005,local,2016
Prakriti,5,24005,local,2016
Sikhism,0,24005,local,2016
Others,93,24005,local,2016
Bahai,0,24006,local,2016
Bon,0,24006,local,2016
Buddism,12151,24006,local,2016
Christianity,40,24006,local,2016
Hindu,2019,24006,local,2016
Islam,0,24006,local,2016
Jainism,0,24006,local,2016
Kirat,0,24006,local,2016
Prakriti,142,24006,local,2016
Sikhism,0,24006,local,2016
Others,46,24006,local,2016
Bahai,1,24009,local,2016
Bon,0,24009,local,2016
Buddism,12678,24009,local,2016
Christianity,603,24009,local,2016
Hindu,16370,24009,local,2016
Islam,7,24009,local,2016
Jainism,1,24009,local,2016
Kirat,6,24009,local,2016
Prakriti,5,24009,local,2016
Sikhism,0,24009,local,2016
Others,255,24009,local,2016
Bahai,0,24004,local,2016
Bon,0,24004,local,2016
Buddism,6276,24004,local,2016
Christianity,154,24004,local,2016
Hindu,14386,24004,local,2016
Islam,0,24004,local,2016
Jainism,0,24004,local,2016
Kirat,0,24004,local,2016
Prakriti,0,24004,local,2016
Sikhism,0,24004,local,2016
Others,13,24004,local,2016
Bahai,0,24013,local,2016
Bon,0,24013,local,2016
Buddism,16778,24013,local,2016
Christianity,36,24013,local,2016
Hindu,5735,24013,local,2016
Islam,1,24013,local,2016
Jainism,0,24013,local,2016
Kirat,0,24013,local,2016
