disability,geo_code,geo_level,sex,total,geo_version
Intellectual disable,29001,local,Male,7,2016
Mental disable,29001,local,Female,4,2016
Mental disable,29001,local,Male,0,2016
Multiple disable,29001,local,Female,7,2016
Multiple disable,29001,local,Male,21,2016
No disability,29001,local,Female,3367,2016
No disability,29001,local,Male,3579,2016
Physical,29001,local,Female,14,2016
Physical,29001,local,Male,26,2016
Speech problem,29001,local,Female,28,2016
Speech problem,29001,local,Male,20,2016
Blind/low vision,29003,local,Female,12,2016
Blind/low vision,29003,local,Male,28,2016
Deaf/hard of hearing,29003,local,Female,16,2016
Deaf/hard of hearing,29003,local,Male,16,2016
Deaf-Blind,29003,local,Female,1,2016
Deaf-Blind,29003,local,Male,4,2016
Intellectual disable,29003,local,Female,1,2016
Intellectual disable,29003,local,Male,3,2016
Mental disable,29003,local,Female,3,2016
Mental disable,29003,local,Male,4,2016
Multiple disable,29003,local,Female,6,2016
Multiple disable,29003,local,Male,3,2016
No disability,29003,local,Female,5984,2016
No disability,29003,local,Male,5661,2016
Physical,29003,local,Female,21,2016
Physical,29003,local,Male,43,2016
Speech problem,29003,local,Female,7,2016
Speech problem,29003,local,Male,11,2016
Blind/low vision,29002,local,Female,13,2016
Blind/low vision,29002,local,Male,19,2016
Deaf/hard of hearing,29002,local,Female,17,2016
Deaf/hard of hearing,29002,local,Male,15,2016
Deaf-Blind,29002,local,Female,2,2016
Deaf-Blind,29002,local,Male,1,2016
Intellectual disable,29002,local,Female,0,2016
Intellectual disable,29002,local,Male,3,2016
Mental disable,29002,local,Female,5,2016
Mental disable,29002,local,Male,11,2016
Multiple disable,29002,local,Female,7,2016
Multiple disable,29002,local,Male,6,2016
No disability,29002,local,Female,4849,2016
No disability,29002,local,Male,4374,2016
Physical,29002,local,Female,36,2016
Physical,29002,local,Male,49,2016
Speech problem,29002,local,Female,6,2016
Speech problem,29002,local,Male,8,2016
Blind/low vision,29004,local,Female,26,2016
Blind/low vision,29004,local,Male,21,2016
Deaf/hard of hearing,29004,local,Female,24,2016
Deaf/hard of hearing,29004,local,Male,6,2016
Deaf-Blind,29004,local,Female,2,2016
Deaf-Blind,29004,local,Male,1,2016
Intellectual disable,29004,local,Female,1,2016
Intellectual disable,29004,local,Male,4,2016
Mental disable,29004,local,Female,3,2016
Mental disable,29004,local,Male,2,2016
Multiple disable,29004,local,Female,9,2016
Multiple disable,29004,local,Male,11,2016
No disability,29004,local,Female,2706,2016
No disability,29004,local,Male,2619,2016
Physical,29004,local,Female,12,2016
Physical,29004,local,Male,26,2016
Speech problem,29004,local,Female,10,2016
Speech problem,29004,local,Male,7,2016
Blind/low vision,65,district,Female,548,2016
Blind/low vision,65,district,Male,478,2016
Deaf/hard of hearing,65,district,Female,441,2016
Deaf/hard of hearing,65,district,Male,483,2016
Deaf-Blind,65,district,Female,48,2016
Deaf-Blind,65,district,Male,58,2016
Intellectual disable,65,district,Female,73,2016
Intellectual disable,65,district,Male,98,2016
Mental disable,65,district,Female,126,2016
Mental disable,65,district,Male,160,2016
Multiple disable,65,district,Female,193,2016
Multiple disable,65,district,Male,183,2016
No disability,65,district,Female,150828,2016
No disability,65,district,Male,135963,2016
Physical,65,district,Female,1072,2016
Physical,65,district,Male,1433,2016
Speech problem,65,district,Female,443,2016
Speech problem,65,district,Male,545,2016
Blind/low vision,20008,local,Female,28,2016
Blind/low vision,20008,local,Male,24,2016
Deaf/hard of hearing,20008,local,Female,25,2016
Deaf/hard of hearing,20008,local,Male,29,2016
Deaf-Blind,20008,local,Female,4,2016
Deaf-Blind,20008,local,Male,2,2016
Intellectual disable,20008,local,Female,5,2016
Intellectual disable,20008,local,Male,7,2016
Mental disable,20008,local,Female,14,2016
Mental disable,20008,local,Male,10,2016
Multiple disable,20008,local,Female,5,2016
Multiple disable,20008,local,Male,10,2016
No disability,20008,local,Female,11289,2016
No disability,20008,local,Male,9754,2016
Physical,20008,local,Female,78,2016
Physical,20008,local,Male,100,2016
Speech problem,20008,local,Female,37,2016
Speech problem,20008,local,Male,52,2016
Blind/low vision,20007,local,Female,27,2016
Blind/low vision,20007,local,Male,21,2016
Deaf/hard of hearing,20007,local,Female,32,2016
Deaf/hard of hearing,20007,local,Male,36,2016
Deaf-Blind,20007,local,Female,0,2016
Deaf-Blind,20007,local,Male,2,2016
Intellectual disable,20007,local,Female,3,2016
Intellectual disable,20007,local,Male,7,2016
Mental disable,20007,local,Female,4,2016
Mental disable,20007,local,Male,2,2016
Multiple disable,20007,local,Female,12,2016
Multiple disable,20007,local,Male,13,2016
No disability,20007,local,Female,8643,2016
No disability,20007,local,Male,7967,2016
Physical,20007,local,Female,77,2016
Physical,20007,local,Male,76,2016
Speech problem,20007,local,Female,27,2016
Speech problem,20007,local,Male,19,2016
Blind/low vision,20004,local,Female,93,2016
Blind/low vision,20004,local,Male,73,2016
Deaf/hard of hearing,20004,local,Female,51,2016
Deaf/hard of hearing,20004,local,Male,78,2016
Deaf-Blind,20004,local,Female,17,2016
Deaf-Blind,20004,local,Male,14,2016
Intellectual disable,20004,local,Female,7,2016
Intellectual disable,20004,local,Male,6,2016
Mental disable,20004,local,Female,13,2016
Mental disable,20004,local,Male,14,2016
Multiple disable,20004,local,Female,33,2016
Multiple disable,20004,local,Male,18,2016
No disability,20004,local,Female,14069,2016
No disability,20004,local,Male,12851,2016
Physical,20004,local,Female,117,2016
Physical,20004,local,Male,155,2016
Speech problem,20004,local,Female,52,2016
Speech problem,20004,local,Male,66,2016
Blind/low vision,20006,local,Female,81,2016
Blind/low vision,20006,local,Male,66,2016
Deaf/hard of hearing,20006,local,Female,58,2016
Deaf/hard of hearing,20006,local,Male,61,2016
Deaf-Blind,20006,local,Female,1,2016
Deaf-Blind,20006,local,Male,7,2016
Intellectual disable,20006,local,Female,15,2016
Intellectual disable,20006,local,Male,24,2016
Mental disable,20006,local,Female,10,2016
Mental disable,20006,local,Male,14,2016
Multiple disable,20006,local,Female,29,2016
Multiple disable,20006,local,Male,22,2016
No disability,20006,local,Female,14195,2016
No disability,20006,local,Male,12882,2016
Physical,20006,local,Female,118,2016
Physical,20006,local,Male,160,2016
Speech problem,20006,local,Female,33,2016
Speech problem,20006,local,Male,46,2016
Blind/low vision,20001,local,Female,92,2016
Blind/low vision,20001,local,Male,75,2016
Deaf/hard of hearing,20001,local,Female,65,2016
Deaf/hard of hearing,20001,local,Male,65,2016
Deaf-Blind,20001,local,Female,9,2016
Deaf-Blind,20001,local,Male,7,2016
Intellectual disable,20001,local,Female,15,2016
Intellectual disable,20001,local,Male,17,2016
Mental disable,20001,local,Female,21,2016
Mental disable,20001,local,Male,28,2016
Multiple disable,20001,local,Female,25,2016
Multiple disable,20001,local,Male,30,2016
No disability,20001,local,Female,33811,2016
No disability,20001,local,Male,30392,2016
Physical,20001,local,Female,173,2016
Physical,20001,local,Male,273,2016
Speech problem,20001,local,Female,87,2016
Speech problem,20001,local,Male,117,2016
Blind/low vision,20002,local,Female,42,2016
Blind/low vision,20002,local,Male,31,2016
Deaf/hard of hearing,20002,local,Female,21,2016
Deaf/hard of hearing,20002,local,Male,15,2016
Deaf-Blind,20002,local,Female,3,2016
Deaf-Blind,20002,local,Male,3,2016
Intellectual disable,20002,local,Female,3,2016
Intellectual disable,20002,local,Male,3,2016
Mental disable,20002,local,Female,5,2016
Mental disable,20002,local,Male,8,2016
Multiple disable,20002,local,Female,7,2016
Multiple disable,20002,local,Male,4,2016
No disability,20002,local,Female,7139,2016
No disability,20002,local,Male,6330,2016
Physical,20002,local,Female,55,2016
Physical,20002,local,Male,55,2016
Speech problem,20002,local,Female,15,2016
Speech problem,20002,local,Male,22,2016
Blind/low vision,20009,local,Female,44,2016
Blind/low vision,20009,local,Male,43,2016
Deaf/hard of hearing,20009,local,Female,48,2016
Deaf/hard of hearing,20009,local,Male,51,2016
Deaf-Blind,20009,local,Female,2,2016
Deaf-Blind,20009,local,Male,5,2016
Intellectual disable,20009,local,Female,6,2016
Intellectual disable,20009,local,Male,14,2016
Mental disable,20009,local,Female,13,2016
Mental disable,20009,local,Male,20,2016
Multiple disable,20009,local,Female,28,2016
Multiple disable,20009,local,Male,34,2016
No disability,20009,local,Female,18734,2016
No disability,20009,local,Male,17016,2016
Physical,20009,local,Female,112,2016
Physical,20009,local,Male,139,2016
Speech problem,20009,local,Female,42,2016
Speech problem,20009,local,Male,54,2016
Blind/low vision,20003,local,Female,31,2016
Blind/low vision,20003,local,Male,39,2016
Deaf/hard of hearing,20003,local,Female,36,2016
Deaf/hard of hearing,20003,local,Male,32,2016
Deaf-Blind,20003,local,Female,3,2016
Deaf-Blind,20003,local,Male,5,2016
Intellectual disable,20003,local,Female,7,2016
Intellectual disable,20003,local,Male,8,2016
Mental disable,20003,local,Female,5,2016
Mental disable,20003,local,Male,6,2016
Multiple disable,20003,local,Female,19,2016
Multiple disable,20003,local,Male,25,2016
No disability,20003,local,Female,9665,2016
No disability,20003,local,Male,9080,2016
Physical,20003,local,Female,113,2016
Physical,20003,local,Male,159,2016
Speech problem,20003,local,Female,50,2016
Speech problem,20003,local,Male,46,2016
Blind/low vision,20005,local,Female,110,2016
Blind/low vision,20005,local,Male,106,2016
Deaf/hard of hearing,20005,local,Female,105,2016
Deaf/hard of hearing,20005,local,Male,116,2016
Deaf-Blind,20005,local,Female,9,2016
Deaf-Blind,20005,local,Male,13,2016
Intellectual disable,20005,local,Female,12,2016
Intellectual disable,20005,local,Male,12,2016
Mental disable,20005,local,Female,41,2016
Mental disable,20005,local,Male,58,2016
Multiple disable,20005,local,Female,35,2016
Multiple disable,20005,local,Male,27,2016
No disability,20005,local,Female,33283,2016
No disability,20005,local,Male,29691,2016
Physical,20005,local,Female,229,2016
Physical,20005,local,Male,316,2016
Speech problem,20005,local,Female,100,2016
Speech problem,20005,local,Male,123,2016
Blind/low vision,66,district,Female,491,2016
Blind/low vision,66,district,Male,518,2016
Deaf/hard of hearing,66,district,Female,446,2016
Deaf/hard of hearing,66,district,Male,560,2016
Deaf-Blind,66,district,Female,65,2016
Deaf-Blind,66,district,Male,68,2016
Intellectual disable,66,district,Female,72,2016
Intellectual disable,66,district,Male,89,2016
Mental disable,66,district,Female,154,2016
Mental disable,66,district,Male,159,2016
Multiple disable,66,district,Female,218,2016
Multiple disable,66,district,Male,239,2016
No disability,66,district,Female,146223,2016
No disability,66,district,Male,132997,2016
Physical,66,district,Female,1043,2016
Physical,66,district,Male,1515,2016
Speech problem,66,district,Female,395,2016
Speech problem,66,district,Male,518,2016
Blind/low vision,23011,local,Female,25,2016
Blind/low vision,23011,local,Male,25,2016
Deaf/hard of hearing,23011,local,Female,21,2016
Deaf/hard of hearing,23011,local,Male,25,2016
Deaf-Blind,23011,local,Female,4,2016
Deaf-Blind,23011,local,Male,2,2016
Intellectual disable,23011,local,Female,6,2016
Intellectual disable,23011,local,Male,2,2016
Mental disable,23011,local,Female,10,2016
Mental disable,23011,local,Male,13,2016
Multiple disable,23011,local,Female,14,2016
Multiple disable,23011,local,Male,21,2016
No disability,23011,local,Female,9192,2016
No disability,23011,local,Male,7684,2016
Physical,23011,local,Female,66,2016
Physical,23011,local,Male,74,2016
Speech problem,23011,local,Female,25,2016
Speech problem,23011,local,Male,37,2016
Blind/low vision,23008,local,Female,18,2016
Blind/low vision,23008,local,Male,17,2016
Deaf/hard of hearing,23008,local,Female,34,2016
Deaf/hard of hearing,23008,local,Male,29,2016
Deaf-Blind,23008,local,Female,2,2016
Deaf-Blind,23008,local,Male,2,2016
Intellectual disable,23008,local,Female,3,2016
Intellectual disable,23008,local,Male,2,2016
Mental disable,23008,local,Female,9,2016
Mental disable,23008,local,Male,11,2016
Multiple disable,23008,local,Female,17,2016
Multiple disable,23008,local,Male,10,2016
No disability,23008,local,Female,7863,2016
No disability,23008,local,Male,6928,2016
Physical,23008,local,Female,70,2016
Physical,23008,local,Male,76,2016
Speech problem,23008,local,Female,16,2016
Speech problem,23008,local,Male,26,2016
Blind/low vision,23007,local,Female,35,2016
Blind/low vision,23007,local,Male,37,2016
Deaf/hard of hearing,23007,local,Female,21,2016
Deaf/hard of hearing,23007,local,Male,27,2016
Deaf-Blind,23007,local,Female,5,2016
Deaf-Blind,23007,local,Male,5,2016
Intellectual disable,23007,local,Female,4,2016
Intellectual disable,23007,local,Male,7,2016
Mental disable,23007,local,Female,4,2016
Mental disable,23007,local,Male,6,2016
Multiple disable,23007,local,Female,3,2016
Multiple disable,23007,local,Male,3,2016
No disability,23007,local,Female,9527,2016
No disability,23007,local,Male,9411,2016
Physical,23007,local,Female,35,2016
Physical,23007,local,Male,64,2016
Speech problem,23007,local,Female,16,2016
Speech problem,23007,local,Male,21,2016
Blind/low vision,23006,local,Female,50,2016
Blind/low vision,23006,local,Male,48,2016
Deaf/hard of hearing,23006,local,Female,37,2016
Deaf/hard of hearing,23006,local,Male,55,2016
Deaf-Blind,23006,local,Female,18,2016
Deaf-Blind,23006,local,Male,10,2016
Intellectual disable,23006,local,Female,11,2016
Intellectual disable,23006,local,Male,12,2016
Mental disable,23006,local,Female,20,2016
Mental disable,23006,local,Male,13,2016
Multiple disable,23006,local,Female,17,2016
Multiple disable,23006,local,Male,15,2016
No disability,23006,local,Female,14831,2016
No disability,23006,local,Male,12996,2016
Physical,23006,local,Female,113,2016
Physical,23006,local,Male,177,2016
Speech problem,23006,local,Female,44,2016
Speech problem,23006,local,Male,50,2016
Blind/low vision,23004,local,Female,50,2016
Blind/low vision,23004,local,Male,60,2016
Deaf/hard of hearing,23004,local,Female,53,2016
Deaf/hard of hearing,23004,local,Male,49,2016
Deaf-Blind,23004,local,Female,5,2016
Deaf-Blind,23004,local,Male,3,2016
Intellectual disable,23004,local,Female,8,2016
Intellectual disable,23004,local,Male,13,2016
Mental disable,23004,local,Female,19,2016
Mental disable,23004,local,Male,26,2016
Multiple disable,23004,local,Female,25,2016
Multiple disable,23004,local,Male,32,2016
No disability,23004,local,Female,24890,2016
No disability,23004,local,Male,20838,2016
Physical,23004,local,Female,125,2016
Physical,23004,local,Male,193,2016
Speech problem,23004,local,Female,50,2016
Speech problem,23004,local,Male,58,2016
Blind/low vision,23003,local,Female,39,2016
Blind/low vision,23003,local,Male,43,2016
Deaf/hard of hearing,23003,local,Female,35,2016
Deaf/hard of hearing,23003,local,Male,53,2016
Deaf-Blind,23003,local,Female,6,2016
Deaf-Blind,23003,local,Male,4,2016
Intellectual disable,23003,local,Female,10,2016
Intellectual disable,23003,local,Male,10,2016
Mental disable,23003,local,Female,10,2016
Mental disable,23003,local,Male,8,2016
Multiple disable,23003,local,Female,21,2016
Multiple disable,23003,local,Male,19,2016
No disability,23003,local,Female,7968,2016
No disability,23003,local,Male,8128,2016
Physical,23003,local,Female,69,2016
Physical,23003,local,Male,121,2016
Speech problem,23003,local,Female,42,2016
Speech problem,23003,local,Male,45,2016
Blind/low vision,23005,local,Female,20,2016
Blind/low vision,23005,local,Male,34,2016
Deaf/hard of hearing,23005,local,Female,19,2016
Deaf/hard of hearing,23005,local,Male,22,2016
Deaf-Blind,23005,local,Female,1,2016
Deaf-Blind,23005,local,Male,3,2016
Intellectual disable,23005,local,Female,2,2016
Intellectual disable,23005,local,Male,3,2016
Mental disable,23005,local,Female,6,2016
Mental disable,23005,local,Male,12,2016
Multiple disable,23005,local,Female,7,2016
Multiple disable,23005,local,Male,5,2016
No disability,23005,local,Female,8986,2016
No disability,23005,local,Male,8365,2016
Physical,23005,local,Female,52,2016
Physical,23005,local,Male,85,2016
Speech problem,23005,local,Female,14,2016
Speech problem,23005,local,Male,35,2016
Blind/low vision,23001,local,Female,58,2016
Blind/low vision,23001,local,Male,50,2016
Deaf/hard of hearing,23001,local,Female,37,2016
Deaf/hard of hearing,23001,local,Male,38,2016
Deaf-Blind,23001,local,Female,4,2016
Deaf-Blind,23001,local,Male,8,2016
Intellectual disable,23001,local,Female,4,2016
Intellectual disable,23001,local,Male,11,2016
Mental disable,23001,local,Female,16,2016
Mental disable,23001,local,Male,13,2016
Multiple disable,23001,local,Female,21,2016
Multiple disable,23001,local,Male,22,2016
No disability,23001,local,Female,9597,2016
No disability,23001,local,Male,8662,2016
Physical,23001,local,Female,127,2016
Physical,23001,local,Male,143,2016
Speech problem,23001,local,Female,43,2016
Speech problem,23001,local,Male,55,2016
Blind/low vision,23009,local,Female,79,2016
Blind/low vision,23009,local,Male,95,2016
Deaf/hard of hearing,23009,local,Female,53,2016
Deaf/hard of hearing,23009,local,Male,61,2016
Deaf-Blind,23009,local,Female,3,2016
Deaf-Blind,23009,local,Male,11,2016
Intellectual disable,23009,local,Female,5,2016
Intellectual disable,23009,local,Male,10,2016
Mental disable,23009,local,Female,23,2016
Mental disable,23009,local,Male,26,2016
Multiple disable,23009,local,Female,29,2016
Multiple disable,23009,local,Male,35,2016
No disability,23009,local,Female,23214,2016
No disability,23009,local,Male,21212,2016
Physical,23009,local,Female,155,2016
Physical,23009,local,Male,219,2016
Speech problem,23009,local,Female,53,2016
Speech problem,23009,local,Male,60,2016
Blind/low vision,23012,local,Female,30,2016
Blind/low vision,23012,local,Male,23,2016
Deaf/hard of hearing,23012,local,Female,27,2016
Deaf/hard of hearing,23012,local,Male,37,2016
Deaf-Blind,23012,local,Female,4,2016
Deaf-Blind,23012,local,Male,6,2016
Intellectual disable,23012,local,Female,3,2016
Intellectual disable,23012,local,Male,3,2016
Mental disable,23012,local,Female,8,2016
Mental disable,23012,local,Male,4,2016
Multiple disable,23012,local,Female,18,2016
Multiple disable,23012,local,Male,18,2016
No disability,23012,local,Female,6792,2016
No disability,23012,local,Male,5981,2016
Physical,23012,local,Female,77,2016
Physical,23012,local,Male,111,2016
Speech problem,23012,local,Female,23,2016
Speech problem,23012,local,Male,32,2016
Blind/low vision,23002,local,Female,47,2016
Blind/low vision,23002,local,Male,48,2016
Deaf/hard of hearing,23002,local,Female,82,2016
Deaf/hard of hearing,23002,local,Male,116,2016
Deaf-Blind,23002,local,Female,11,2016
Deaf-Blind,23002,local,Male,11,2016
Intellectual disable,23002,local,Female,11,2016
Intellectual disable,23002,local,Male,8,2016
Mental disable,23002,local,Female,21,2016
Mental disable,23002,local,Male,17,2016
Multiple disable,23002,local,Female,35,2016
Multiple disable,23002,local,Male,43,2016
No disability,23002,local,Female,13291,2016
No disability,23002,local,Male,12452,2016
Physical,23002,local,Female,91,2016
Physical,23002,local,Male,154,2016
Speech problem,23002,local,Female,42,2016
Speech problem,23002,local,Male,55,2016
Blind/low vision,23010,local,Female,40,2016
Blind/low vision,23010,local,Male,38,2016
Deaf/hard of hearing,23010,local,Female,27,2016
Deaf/hard of hearing,23010,local,Male,48,2016
Deaf-Blind,23010,local,Female,2,2016
Deaf-Blind,23010,local,Male,3,2016
Intellectual disable,23010,local,Female,5,2016
Intellectual disable,23010,local,Male,8,2016
Mental disable,23010,local,Female,8,2016
Mental disable,23010,local,Male,10,2016
Multiple disable,23010,local,Female,11,2016
Multiple disable,23010,local,Male,16,2016
No disability,23010,local,Female,10072,2016
No disability,23010,local,Male,10340,2016
Physical,23010,local,Female,63,2016
Physical,23010,local,Male,98,2016
Speech problem,23010,local,Female,27,2016
Speech problem,23010,local,Male,44,2016
Blind/low vision,12,district,Female,1576,2016
Blind/low vision,12,district,Male,1519,2016
Deaf/hard of hearing,12,district,Female,997,2016
Deaf/hard of hearing,12,district,Male,995,2016
Deaf-Blind,12,district,Female,161,2016
Deaf-Blind,12,district,Male,114,2016
Intellectual disable,12,district,Female,183,2016
Intellectual disable,12,district,Male,224,2016
Mental disable,12,district,Female,402,2016
Mental disable,12,district,Male,415,2016
Multiple disable,12,district,Female,469,2016
Multiple disable,12,district,Male,542,2016
No disability,12,district,Female,293173,2016
No disability,12,district,Male,263742,2016
Physical,12,district,Female,1521,2016
Physical,12,district,Male,2321,2016
Speech problem,12,district,Female,635,2016
Speech problem,12,district,Male,743,2016
Blind/low vision,35002,local,Female,62,2016
Blind/low vision,35002,local,Male,64,2016
Deaf/hard of hearing,35002,local,Female,25,2016
Deaf/hard of hearing,35002,local,Male,53,2016
Deaf-Blind,35002,local,Female,14,2016
Deaf-Blind,35002,local,Male,5,2016
Intellectual disable,35002,local,Female,5,2016
Intellectual disable,35002,local,Male,6,2016
Mental disable,35002,local,Female,16,2016
Mental disable,35002,local,Male,11,2016
Multiple disable,35002,local,Female,25,2016
Multiple disable,35002,local,Male,32,2016
No disability,35002,local,Female,12297,2016
No disability,35002,local,Male,12136,2016
Physical,35002,local,Female,70,2016
Physical,35002,local,Male,111,2016
Speech problem,35002,local,Female,28,2016
Speech problem,35002,local,Male,42,2016
Blind/low vision,35006,local,Female,145,2016
Blind/low vision,35006,local,Male,118,2016
Deaf/hard of hearing,35006,local,Female,146,2016
Deaf/hard of hearing,35006,local,Male,157,2016
Deaf-Blind,35006,local,Female,8,2016
Deaf-Blind,35006,local,Male,13,2016
Intellectual disable,35006,local,Female,19,2016
Intellectual disable,35006,local,Male,31,2016
Mental disable,35006,local,Female,48,2016
Mental disable,35006,local,Male,46,2016
Multiple disable,35006,local,Female,57,2016
Multiple disable,35006,local,Male,74,2016
No disability,35006,local,Female,29655,2016
No disability,35006,local,Male,26902,2016
Physical,35006,local,Female,180,2016
Physical,35006,local,Male,279,2016
Speech problem,35006,local,Female,120,2016
Speech problem,35006,local,Male,109,2016
Blind/low vision,35004,local,Female,63,2016
Blind/low vision,35004,local,Male,72,2016
Deaf/hard of hearing,35004,local,Female,72,2016
Deaf/hard of hearing,35004,local,Male,82,2016
Deaf-Blind,35004,local,Female,24,2016
Deaf-Blind,35004,local,Male,19,2016
Intellectual disable,35004,local,Female,22,2016
Intellectual disable,35004,local,Male,20,2016
Mental disable,35004,local,Female,30,2016
Mental disable,35004,local,Male,45,2016
Multiple disable,35004,local,Female,53,2016
Multiple disable,35004,local,Male,58,2016
No disability,35004,local,Female,29574,2016
No disability,35004,local,Male,25509,2016
Physical,35004,local,Female,108,2016
Physical,35004,local,Male,201,2016
Speech problem,35004,local,Female,73,2016
Speech problem,35004,local,Male,69,2016
Blind/low vision,35007,local,Female,100,2016
Blind/low vision,35007,local,Male,106,2016
Deaf/hard of hearing,35007,local,Female,79,2016
Deaf/hard of hearing,35007,local,Male,74,2016
Deaf-Blind,35007,local,Female,11,2016
Deaf-Blind,35007,local,Male,6,2016
Intellectual disable,35007,local,Female,18,2016
Intellectual disable,35007,local,Male,13,2016
Mental disable,35007,local,Female,46,2016
Mental disable,35007,local,Male,49,2016
Multiple disable,35007,local,Female,37,2016
Multiple disable,35007,local,Male,31,2016
No disability,35007,local,Female,36103,2016
No disability,35007,local,Male,32668,2016
Physical,35007,local,Female,144,2016
Physical,35007,local,Male,237,2016
Speech problem,35007,local,Female,57,2016
Speech problem,35007,local,Male,72,2016
Blind/low vision,35003,local,Female,82,2016
Blind/low vision,35003,local,Male,85,2016
Deaf/hard of hearing,35003,local,Female,73,2016
Deaf/hard of hearing,35003,local,Male,73,2016
Deaf-Blind,35003,local,Female,10,2016
Deaf-Blind,35003,local,Male,6,2016
Intellectual disable,35003,local,Female,10,2016
Intellectual disable,35003,local,Male,9,2016
Mental disable,35003,local,Female,30,2016
Mental disable,35003,local,Male,36,2016
Multiple disable,35003,local,Female,36,2016
Multiple disable,35003,local,Male,46,2016
No disability,35003,local,Female,21895,2016
No disability,35003,local,Male,19769,2016
Physical,35003,local,Female,99,2016
Physical,35003,local,Male,142,2016
Speech problem,35003,local,Female,40,2016
Speech problem,35003,local,Male,52,2016
Blind/low vision,35001,local,Female,917,2016
Blind/low vision,35001,local,Male,903,2016
Deaf/hard of hearing,35001,local,Female,445,2016
Deaf/hard of hearing,35001,local,Male,413,2016
Deaf-Blind,35001,local,Female,73,2016
Deaf-Blind,35001,local,Male,50,2016
Intellectual disable,35001,local,Female,86,2016
Intellectual disable,35001,local,Male,111,2016
Mental disable,35001,local,Female,188,2016
Mental disable,35001,local,Male,185,2016
Multiple disable,35001,local,Female,226,2016
Multiple disable,35001,local,Male,245,2016
No disability,35001,local,Female,143588,2016
No disability,35001,local,Male,130677,2016
Physical,35001,local,Female,739,2016
Physical,35001,local,Male,1101,2016
Speech problem,35001,local,Female,239,2016
Speech problem,35001,local,Male,316,2016
Blind/low vision,35005,local,Female,207,2016
Blind/low vision,35005,local,Male,171,2016
Deaf/hard of hearing,35005,local,Female,157,2016
Deaf/hard of hearing,35005,local,Male,143,2016
Deaf-Blind,35005,local,Female,21,2016
Deaf-Blind,35005,local,Male,15,2016
Intellectual disable,35005,local,Female,23,2016
